Date,Campaign ID,Campaign Name,Targeting Type,Targeting Value,Match Type,Most Viewed Position,Pacing Type,CPM,Impressions,Direct ATC,Indirect ATC,Direct Quantities Sold,Indirect Quantities Sold,Direct Sales,Indirect Sales,New Users Acquired,Estimated Budget Consumed,Direct RoAS,Total RoAS
29-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,2512,188,18,108,11,12402,1559,96,4019.2,3.085688694,3.473576831
29-05-2026,500613,Paper Plates - May'26,Keyword,plate,EXACT,1,DAILY,501,20129,267,13,177,9,21183,1071,140,10078.5,2.101800863,2.208066677
29-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,1,DAILY,914,3590,48,6,26,7,3254,693,24,3279.6,0.99219417,1.203500427
30-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,375,35,2,21,0,2619,0,17,225,11.64,11.64
30-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,1182,14,0,5,0,495,0,5,654.7,0.756071483,0.756071483
30-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,550,410,44,1,32,1,3618,69,26,228,15.86842105,16.17105263
30-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,2805,214,24,124,11,14616,1359,109,4488,3.256684492,3.559491979
30-05-2026,500613,Paper Plates - May'26,Keyword,plate,EXACT,1,DAILY,501,23666,247,25,168,18,18702,1782,152,11851.8,1.577988154,1.728345062
30-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,1,DAILY,914,3987,96,16,64,11,7916,1179,52,3642.9,2.172994043,2.496637294
31-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,351,30,0,14,0,1476,0,12,210.6,7.008547009,7.008547009
31-05-2026,500611,Clone of Bowl - May'26,Keyword,katori,EXACT,1,DAILY,550,1308,19,1,14,1,1476,119,13,723.9,2.038955657,2.203343003
31-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,550,494,55,4,27,2,3303,338,22,274.7,12.02402621,13.25445941
31-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1600,2901,224,16,131,13,15399,1897,115,4641.6,3.317605998,3.726301275
31-05-2026,500613,Paper Plates - May'26,Keyword,plate,EXACT,1,DAILY,501,26483,247,15,145,12,16405,1458,123,13261.8,1.237011567,1.346951394
31-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,1,DAILY,914,3670,67,3,48,1,5812,99,36,3352.8,1.733476497,1.763004056
05-06-2026,529350,Bowls - Generic June'26,Keyword,katori,EXACT,1,DAILY,500,601,5,0,4,0,396,0,3,300.5,1.317803661,1.317803661
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,kataifi,SMART,5,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,kathi,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,kato,SMART,1,DAILY,500,43,0,0,0,0,0,0,0,21.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,katti,SMART,1,DAILY,500,7,0,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,kattu,SMART,1,DAILY,500,7,0,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,kito,SMART,1,DAILY,500,21,0,0,0,0,0,0,0,10.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small bowl,EXACT,1,DAILY,500,86,1,0,1,0,99,0,1,43,2.302325581,2.302325581
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,bowl small,SMART,1,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small,SMART,5,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small bal,SMART,1,DAILY,500,13,0,0,0,0,0,0,0,6.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small ball,SMART,5,DAILY,500,8,0,0,0,0,0,0,0,4,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small balls,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small bow,SMART,1,DAILY,500,14,0,0,0,0,0,0,0,7,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small bowl for,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,small vati,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,smallbowl,SMART,1,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,paper bowl,EXACT,1,DAILY,500,141,4,0,2,0,288,0,2,70.5,4.085106383,4.085106383
05-06-2026,529350,Bowls - Generic June'26,Keyword,bowls,EXACT,1,DAILY,500,201,4,0,2,0,198,0,2,100.5,1.970149254,1.970149254
05-06-2026,529350,Bowls - Generic June'26,Keyword,bowl,EXACT,1,DAILY,500,2081,22,3,11,1,1269,69,10,1040.5,1.219605959,1.285920231
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,8,0,0,0,0,0,0,0,4,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,10,0,0,0,0,0,0,0,5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,8,0,0,0,0,0,0,0,4,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,15,0,0,0,0,0,0,0,7.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,boul,SMART,5,DAILY,500,64,0,0,0,0,0,0,0,32,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,bow,SMART,1,DAILY,500,324,0,0,0,0,0,0,0,162,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,6,0,0,0,0,0,0,0,3,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,12,0,0,0,0,0,0,0,6,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,13,0,0,0,0,0,0,0,6.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,13,0,0,0,0,0,0,0,6.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,11,0,0,0,0,0,0,0,5.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,disposable bowl,EXACT,1,DAILY,500,1178,64,5,34,3,4806,307,29,589,8.15959253,8.680814941
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,152,0,0,0,0,0,0,0,76,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,bow,SMART,1,DAILY,500,573,0,4,0,0,0,0,0,286.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,7,0,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,bowl,SMART,1,DAILY,500,611,4,0,2,0,198,0,0,305.5,0.64811784,0.64811784
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,11,0,0,0,0,0,0,0,5.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,11,0,0,0,0,0,0,0,5.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,20,0,0,0,0,0,0,0,10,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,36,0,0,0,0,0,0,0,18,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,80,0,0,0,0,0,0,0,40,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,7,1,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,40,0,0,0,0,0,0,0,20,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,32,1,3,1,3,99,357,0,16,6.1875,28.5
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,9,0,0,0,0,0,0,0,4.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,7,0,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,9,0,0,0,0,0,0,0,4.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,125,0,1,0,1,0,169,1,62.5,0,2.704
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,7,0,0,0,0,0,0,0,3.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,10,0,0,0,0,0,0,0,5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,disp,SMART,1,DAILY,500,519,1,2,0,0,0,0,0,259.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,12,0,0,0,0,0,0,0,6,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,11,0,0,0,0,0,0,0,5.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,dispo,SMART,1,DAILY,500,2173,10,19,8,10,792,1190,10,1086.5,0.728946157,1.824206167
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,dispos,SMART,1,DAILY,500,225,1,0,1,0,189,0,1,112.5,1.68,1.68
05-06-2026,529350,Bowls - Generic June'26,Keyword,disposa,SMART,1,DAILY,500,581,3,5,2,4,198,626,3,290.5,0.681583477,2.836488812
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,68,1,0,1,0,99,0,1,34,2.911764706,2.911764706
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,71,0,0,0,0,0,0,0,35.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,disposable,SMART,1,DAILY,500,1610,10,5,5,4,495,526,7,805,0.614906832,1.268322981
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,56,0,0,0,0,0,0,0,28,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,11,0,0,0,0,0,0,0,5.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,86,0,0,0,0,0,0,0,43,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,29,1,0,0,0,0,0,0,14.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,16,0,0,0,0,0,0,0,8,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,63,3,0,2,0,198,0,2,31.5,6.285714286,6.285714286
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,38,0,0,0,0,0,0,0,19,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,81,2,0,1,0,189,0,1,40.5,4.666666667,4.666666667
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,50,0,0,0,0,0,0,0,25,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,16,0,0,0,0,0,0,0,8,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,18,0,0,0,0,0,0,0,9,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,5,0,0,0,0,0,0,0,2.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,7,1,0,1,0,189,0,1,3.5,54,54
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,27,0,0,0,0,0,0,0,13.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,62,0,0,0,0,0,0,0,31,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,disposal,SMART,1,DAILY,500,332,4,0,4,0,486,0,4,166,2.927710843,2.927710843
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,4,0,0,0,0,0,0,0,2,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,3,0,0,0,0,0,0,0,1.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,2,0,0,0,0,0,0,0,1,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
05-06-2026,529350,Bowls - Generic June'26,Keyword,Others,SMART,1,DAILY,500,1,0,0,0,0,0,0,0,0.5,0,0
