Date,Campaign ID,Campaign Name,Targeting Type,Targeting Value,Match Type,Most Viewed Position,Pacing Type,CPM,Impressions,Direct ATC,Indirect ATC,Direct Quantities Sold,Indirect Quantities Sold,Direct Sales,Indirect Sales,New Users Acquired,Estimated Budget Consumed,Direct RoAS,Total RoAS
11-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,368,5,0,3,0,297,0,2,180.3,1.647254576,1.647254576
11-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1592,134,15,80,8,9270,702,72,2420.1,3.830420231,4.120490889
11-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,13,DAILY,400,500,6,1,2,1,138,99,3,200,0.69,1.185
11-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1163,24,1,6,0,764,0,6,465.2,1.642304385,1.642304385
11-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,4194,63,10,37,9,4403,891,41,2935.8,1.499761564,1.803256353
12-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,308,34,1,16,1,1764,119,14,154,11.45454545,12.22727273
12-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,180,10,0,9,0,1071,0,8,108,9.916666667,9.916666667
12-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,172,7,0,5,0,495,0,3,137.6,3.597383721,3.597383721
12-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,348,13,4,11,3,1269,507,6,170.6,7.438452521,10.41031653
12-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1737,159,21,89,14,9981,1616,80,2640.7,3.77967963,4.391638581
12-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1229,19,0,11,0,1659,0,8,491.6,3.374694874,3.374694874
12-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,6359,103,13,55,7,6305,873,45,4451.3,1.416440141,1.612562622
13-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,326,42,4,29,2,3321,238,26,163,20.37423313,21.83435583
13-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,189,21,0,15,0,1575,0,11,113.4,13.88888889,13.88888889
13-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,117,2,0,1,0,99,0,1,93.6,1.057692308,1.057692308
13-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,385,13,2,9,2,891,188,9,188.7,4.721780604,5.718071012
13-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1813,140,8,92,5,10368,445,85,2756.8,3.760882182,3.922301219
13-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1206,13,0,7,0,1033,0,4,482.4,2.141376451,2.141376451
13-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,6489,105,8,52,5,6388,495,50,4542.3,1.406335997,1.515311626
14-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,321,33,0,14,0,1656,0,11,160.5,10.31775701,10.31775701
14-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,232,13,1,10,1,990,119,11,139.2,7.112068966,7.966954023
14-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,127,3,0,2,0,198,0,2,101.6,1.948818898,1.948818898
14-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,436,13,3,5,1,585,169,2,213.7,2.737482452,3.528310716
14-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2060,164,24,99,18,10521,2192,97,3132.7,3.358444792,4.058160692
14-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1252,27,4,20,3,2230,387,12,500.8,4.452875399,5.225638978
14-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,7057,138,5,89,3,10991,387,67,4939.9,2.224943825,2.303285492
15-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,420,37,2,20,0,2340,0,17,210,11.14285714,11.14285714
15-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,283,26,0,18,0,2142,0,14,169.8,12.61484099,12.61484099
15-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,164,7,0,3,0,297,0,3,131.2,2.263719512,2.263719512
15-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,424,16,1,10,0,1080,0,7,207.8,5.197305101,5.197305101
15-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2159,164,14,93,6,10017,964,85,3283.1,3.051079772,3.3447047
15-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1615,21,5,13,4,1627,396,14,646,2.518575851,3.131578947
15-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,7777,126,9,71,6,8489,774,61,5443.9,1.559360018,1.701537501
16-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,435,41,0,20,0,2160,0,15,217.5,9.931034483,9.931034483
16-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,267,13,0,10,0,1080,0,8,160.2,6.741573034,6.741573034
16-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,170,5,0,3,0,297,0,3,136,2.183823529,2.183823529
16-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,550,21,0,11,0,1089,0,8,269.1,4.046822742,4.046822742
16-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2680,192,13,123,7,13257,833,109,4075.4,3.252932228,3.457329342
16-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1904,37,4,21,1,2999,99,17,761.6,3.937762605,4.067752101
16-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,8388,125,13,77,8,9243,972,66,5871.6,1.574187615,1.739730227
17-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,281,12,0,9,0,981,0,8,140.5,6.982206406,6.982206406
17-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,310,29,0,16,0,1764,0,14,186,9.483870968,9.483870968
17-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,209,8,0,7,0,693,0,5,167.2,4.144736842,4.144736842
17-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,424,7,0,7,0,783,0,6,208.1,3.762614128,3.762614128
17-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2378,180,18,104,11,11646,1459,92,3615.7,3.220953066,3.624471057
17-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,1847,37,4,21,3,2849,297,18,738.8,3.856253384,4.258256632
17-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,9011,143,17,82,12,10248,1278,69,6307.7,1.624680946,1.827290455
18-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,306,28,0,18,0,2142,0,15,153,14,14
18-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,225,20,1,11,0,1269,0,10,135,9.4,9.4
18-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,166,5,0,4,0,486,0,4,132.8,3.659638554,3.659638554
18-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,360,2,0,2,0,198,0,2,176.9,1.119276427,1.119276427
18-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1725,117,5,70,1,7470,169,55,2622.4,2.848535692,2.912980476
18-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,400,1299,24,3,12,2,1778,198,11,519.6,3.421862972,3.802925327
18-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,5952,87,10,48,7,5912,693,43,4166.4,1.418970814,1.585301459
19-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,224,10,8,5,5,495,695,7,112,4.419642857,10.625
19-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,216,17,2,10,2,1260,138,8,129.6,9.722222222,10.78703704
19-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,190,3,0,2,0,198,0,2,152,1.302631579,1.302631579
19-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,307,9,1,6,0,594,0,5,151.1,3.93117141,3.93117141
19-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1833,132,17,77,10,8523,1240,68,2787.1,3.058017294,3.502924186
19-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,9,DAILY,400,751,13,1,6,0,914,0,6,300.4,3.042609854,3.042609854
19-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,6252,90,16,49,8,5801,882,43,4376.4,1.325518691,1.5270542
19-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,500,547,7,0,3,0,507,0,3,273.5,1.853747715,1.853747715
20-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,272,13,0,9,0,1071,0,9,136,7.875,7.875
20-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,245,16,0,9,0,891,0,9,147,6.06122449,6.06122449
20-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,144,4,0,1,0,99,0,1,115.2,0.859375,0.859375
20-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,302,3,4,1,4,99,526,4,148.5,0.666666667,4.208754209
20-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1921,178,11,105,7,12285,733,87,2920.7,4.206183449,4.457150683
20-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,7154,102,9,58,8,7752,882,49,5007.8,1.547985143,1.724110388
20-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,500,1433,14,1,12,1,1578,99,9,716.5,2.202372645,2.340544313
21-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,300,29,1,14,1,1566,169,10,150,10.44,11.56666667
21-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,211,6,0,2,0,198,0,1,126.6,1.563981043,1.563981043
21-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,163,4,2,1,0,99,0,1,130.4,0.759202454,0.759202454
21-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,310,10,1,3,1,297,169,3,152.4,1.948818898,3.057742782
21-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1958,129,18,80,14,9360,1766,76,2976.8,3.144316044,3.737570546
21-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,3440,58,6,35,4,4265,396,29,2408,1.771179402,1.935631229
21-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,500,1381,27,2,18,1,2342,99,13,690.5,3.391745112,3.535119479
21-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,650,2900,44,7,23,5,2787,495,19,1893.1,1.472188474,1.73366436
22-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,267,17,0,7,0,693,0,5,133.5,5.191011236,5.191011236
22-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,247,17,1,13,1,1557,69,12,148.2,10.50607287,10.97165992
22-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,158,4,2,3,2,387,238,3,126.4,3.061708861,4.944620253
22-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,328,7,1,5,1,495,119,5,161,3.074534161,3.813664596
22-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2140,143,11,85,4,9135,676,78,3254.5,2.806882778,3.014595176
22-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,700,1,0,0,0,0,0,0,0,0.7,0,0
22-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,500,713,13,6,7,3,1133,297,9,356.5,3.178120617,4.011220196
22-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,5,DAILY,650,4208,75,7,48,5,5972,495,36,2743.8,2.17654348,2.356950215
23-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,285,17,0,9,0,981,0,8,142.5,6.884210526,6.884210526
23-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,297,11,2,6,2,684,138,7,178.2,3.838383838,4.612794613
23-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,176,8,0,4,0,486,0,4,140.8,3.451704545,3.451704545
23-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,361,6,1,4,0,486,0,3,177.3,2.741116751,2.741116751
23-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2587,184,24,115,11,12825,1359,100,3933.7,3.260289295,3.605765564
24-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,368,37,1,17,1,1953,119,13,184,10.61413043,11.26086957
24-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,254,23,0,17,0,1773,0,15,152.4,11.63385827,11.63385827
24-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,192,5,0,3,0,297,0,2,153.6,1.93359375,1.93359375
24-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,408,12,0,5,0,495,0,4,200.2,2.472527473,2.472527473
24-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2503,190,17,121,10,13726,1390,102,3806.5,3.605937213,3.971102062
25-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,282,21,0,10,0,990,0,7,141,7.021276596,7.021276596
25-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,194,11,0,6,0,774,0,4,116.4,6.649484536,6.649484536
25-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,150,2,0,2,0,198,0,2,120,1.65,1.65
25-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,275,4,0,3,0,297,0,3,135.2,2.196745562,2.196745562
25-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1843,133,12,77,8,9063,1052,55,2802.4,3.234013703,3.609406223
26-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,75,6,0,4,0,486,0,4,37.5,12.96,12.96
26-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,231,17,0,10,0,990,0,8,138.6,7.142857143,7.142857143
26-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,30,1,0,1,0,99,0,1,24,4.125,4.125
26-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,43,1,0,1,0,99,0,1,21.4,4.626168224,4.626168224
26-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2039,133,7,73,2,8577,238,62,3100.8,2.766060372,2.842814757
