Date,Product Name,Campaign Name,Brand Name,Category,Product ID,Ad Spend,Ad Impressions,CPM,Add to Cart,Orders (SKU),Ad Revenue,ROAS,Other SKU Orders,Same Category Orders,Other SKU Ad Revenue
2026-05-22 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,298.39,409,729.56,0,12,3343,11.2,6,12,1110
2026-06-02 00:00:00,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40349409,0,0,0,0,0,0,0,0,0,0
2026-05-29 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,1034.88,985,1050.64,0,19,3325,3.21,6,19,1128
2026-05-21 00:00:00,Chuk Sugarcane Bagasse Meal Plate  -8CP Meal Tray  10 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40302635,0,0,0,0,0,0,0,0,0,0
2026-05-30 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,137.57,157,876.24,0,3,1137,8.26,1,3,499
2026-05-20 00:00:00,Chuk Disposable Snack Plate - 26 cm  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220813,332,458,724.89,0,3,807,2.43,1,3,169
2026-05-24 00:00:00,Chuk Disposable Snack Plate - 15 cm  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220812,0,0,0,0,0,0,0,0,0,0
2026-05-10 00:00:00,Chuk Disposable Snack Plate - 15 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220812,0,0,0,0,0,0,0,0,0,0
2026-06-14 00:00:00,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197860,197.79,208,950.91,2,4,1096,5.54,3,4,597
2026-06-14 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,466.46,649,718.74,6,5,2194,4.7,1,5,599
2026-07-24 00:00:00,Chuk Serving Bowls/Dona  25 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197851,100.8,165,610.91,19,9,992,9.84,5,9,604
2026-06-15 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,433.92,674,643.8,7,8,1118,2.58,4,8,522
