BrandCompanyId,BrandCompanyName,SupplierId,SupplierName,MomScoreChange,CategoryName,Rank,DateRange,ScoreRequiredToLevelUp,LeadTimeAdherence,OnTimeInFull,LineFillRate,UnitFillRate,NonZeroFillRate,ReplenishmentFrequency,VendorConstraint,LeadTimeAdherencePoints,OnTimeInFullPoints,LineFillRatePoints,UnitFillRatePoints,NonZeroFillRatePoints,ReplenishmentFrequencyPoints,VendorConstraintPoints,PotentialGMVLoss,PotentialGMVLossPercentage,AvgLeadTime
b6ad5d74a88b9509d1c8ddb4232cee5a14b1cb36,Yash Compostables Limited.,,,0.00,Non Food,774,"As of 12 Jul, 2026",0.08,44.05,42.59,71.19,77.66,73.28,0.00,0.00,8.81,10.65,10.68,23.30,7.33,0.00,0.00,27435041.28,54.86,1
b6ad5d74a88b9509d1c8ddb4232cee5a14b1cb36,Yash Compostables Limited.,,,0.00,Non Food,682,"As of 26 Jul, 2026",0.00,53.10,51.15,71.50,74.76,73.81,0.00,0.00,10.62,12.79,10.73,22.43,7.38,0.00,0.00,32938611.20,46.20,1
b6ad5d74a88b9509d1c8ddb4232cee5a14b1cb36,Yash Compostables Limited.,,,0.00,Non Food,743,"As of 19 Jul, 2026",0.01,49.19,47.58,70.36,75.15,72.38,0.00,0.00,9.84,11.90,10.55,22.54,7.24,0.00,0.00,37169912.32,66.76,1
b6ad5d74a88b9509d1c8ddb4232cee5a14b1cb36,Yash Compostables Limited.,,,0.00,Non Food,940,"As of 05 Jul, 2026",0.02,35.91,34.24,70.35,75.82,73.28,0.00,0.00,7.18,8.56,10.55,22.75,7.33,0.00,0.00,28907530.24,52.26,1
